State and County information
Names and FIPS codes
Region in column 5
Final two columns are Estimated 2016 and 2017 Population, respectively
District of Columbia,District of Columbia,11,1,DC,684336,693972
Maryland,Allegany County,24,1,Western,72194,71615
Maryland,Anne Arundel County,24,3,Central,568916,573235
Maryland,Baltimore County,24,5,Central,831431,832468
Maryland,Calvert County,24,9,Central,91099,91502
Maryland,Caroline County,24,11,Eastern,32887,33193
Maryland,Carroll County,24,13,Western,167140,167781
Maryland,Cecil County,24,15,Eastern,102701,102746
Maryland,Charles County,24,17,Western,157430,159700
Maryland,Dorchester County,24,19,Eastern,32267,32162
Maryland,Frederick County,24,21,Western,247881,252022
Maryland,Garrett County,24,23,Western,29344,29233
Maryland,Harford County,24,25,Central,250439,252160
Maryland,Howard County,24,27,Central,316966,321113
Maryland,Kent County,24,29,Eastern,19654,19384
Maryland,Montgomery County,24,31,Western,1048332,1058810
Maryland,Prince George's County,24,33,Central,911154,912756
Maryland,Queen Anne's County,24,35,Eastern,49178,49770
Maryland,St. Mary's County,24,37,Central,111835,112667
Maryland,Somerset County,24,39,Eastern,25833,25918
Maryland,Talbot County,24,41,Central,37204,37103
Maryland,Washington County,24,43,Western,149810,150578
Maryland,Wicomico County,24,45,Eastern,102585,102923
Maryland,Worcester County,24,47,Eastern,51514,51690
Virginia,ACCOMACK COUNTY,51,1,Eastern,32818,32545
Virginia,ALBEMARLE COUNTY,51,3,Central,106419,107702
Virginia,ALLEGHANY COUNTY,51,5,Western,15372,15122
Virginia,AMELIA COUNTY,51,7,Central,12830,13020
Virginia,AMHERST COUNTY,51,9,Central,31667,31594
Virginia,APPOMATTOX COUNTY,51,11,Central,15505,15681
Virginia,ARLINGTON COUNTY,51,13,Eastern,231610,234965
Virginia,AUGUSTA COUNTY,51,15,Western,74774,75144
Virginia,BATH COUNTY,51,17,Western,4413,4297
Virginia,BEDFORD COUNTY,51,19,Western,77828,77974
Virginia,BLAND COUNTY,51,21,Western,6475,6350
Virginia,BOTETOURT COUNTY,51,23,Western,33150,33192
Virginia,BRUNSWICK COUNTY,51,25,Central,16275,16244
Virginia,BUCHANAN COUNTY,51,27,Western,22102,21514
Virginia,BUCKINGHAM COUNTY,51,29,Central,17060,17065
Virginia,CAMPBELL COUNTY,51,31,Central,55180,55010
Virginia,CAROLINE COUNTY,51,33,Central,30071,30461
Virginia,CARROLL COUNTY,51,35,Western,29699,29708
Virginia,CHARLOTTE COUNTY,51,37,Central,12130,12119
Virginia,CHESTERFIELD COUNTY,51,41,Central,338815,343599
Virginia,CLARKE COUNTY,51,43,Central,14322,14508
Virginia,CRAIG COUNTY,51,45,Western,5140,5062
Virginia,CULPEPER COUNTY,51,47,Central,50333,51282
Virginia,CUMBERLAND COUNTY,51,49,Central,9742,9811
Virginia,DICKENSON COUNTY,51,51,Western,15040,14782
Virginia,DINWIDDIE COUNTY,51,53,Central,28025,28208
Virginia,ESSEX COUNTY,51,57,Eastern,11096,11028
Virginia,FAIRFAX COUNTY,51,59,Central,1144636,1148433
Virginia,FAUQUIER COUNTY,51,61,Central,68784,69465
Virginia,FLOYD COUNTY,51,63,Western,15658,15755
Virginia,FLUVANNA COUNTY,51,65,Central,26169,26452
Virginia,FRANKLIN COUNTY,51,67,Western,56159,56445
Virginia,FREDERICK COUNTY,51,69,Central,84684,86484
Virginia,GILES COUNTY,51,71,Western,16887,16837
Virginia,GLOUCESTER COUNTY,51,73,Eastern,37101,37292
Virginia,GOOCHLAND COUNTY,51,75,Central,22475,22685
Virginia,GRAYSON COUNTY,51,77,Western,15869,15665
Virginia,GREENE COUNTY,51,79,Central,19331,19612
Virginia,GREENSVILLE COUNTY,51,81,Central,11551,11679
Virginia,HALIFAX COUNTY,51,83,Central,34964,34563
Virginia,HANOVER COUNTY,51,85,Central,104347,105923
Virginia,HENRICO COUNTY,51,87,Central,326147,327898
Virginia,HENRY COUNTY,51,89,Western,51604,51227
Virginia,HIGHLAND COUNTY,51,91,Western,2212,2212
